Date : 2024-11-25 11:16:20
Directory : c:\xampp\htdocs\GYM-UPC
Total : 117 files,  67925 codes, 2642 comments, 5948 blanks, all 76515 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap.rtl.css               | CSS        |     11,138 |          6 |        886 |     12,030 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\bootstrap.rtl.min.css           | CSS        |          2 |          4 |          0 |          6 |
| c:\xampp\htdocs\GYM-UPC\boostrap\css\style.css                       | CSS        |         82 |          2 |         16 |        100 |
| c:\xampp\htdocs\GYM-UPC\css\Apartarcupos.css                         | CSS        |        305 |          2 |         72 |        379 |
| c:\xampp\htdocs\GYM-UPC\css\activar_afiliados.css                    | CSS        |        342 |          3 |         47 |        392 |
| c:\xampp\htdocs\GYM-UPC\css\bienvenida.css                           | CSS        |        332 |          3 |         59 |        394 |
| c:\xampp\htdocs\GYM-UPC\css\configuracion.css                        | CSS        |        214 |          2 |         46 |        262 |
| c:\xampp\htdocs\GYM-UPC\css\estilos.css                              | CSS        |         52 |          1 |         14 |         67 |
| c:\xampp\htdocs\GYM-UPC\css\estilos_Recuperar.css                    | CSS        |         79 |          1 |         22 |        102 |
| c:\xampp\htdocs\GYM-UPC\css\imc.css                                  | CSS        |        258 |          8 |         48 |        314 |
| c:\xampp\htdocs\GYM-UPC\css\leerqr.css                               | CSS        |        143 |          4 |         33 |        180 |
| c:\xampp\htdocs\GYM-UPC\css\listado.css                              | CSS        |        328 |          3 |         52 |        383 |
| c:\xampp\htdocs\GYM-UPC\css\perfil.css                               | CSS        |        382 |          3 |         74 |        459 |
| c:\xampp\htdocs\GYM-UPC\css\plan.css                                 | CSS        |        235 |          4 |         62 |        301 |
| c:\xampp\htdocs\GYM-UPC\css\qr.css                                   | CSS        |        107 |          3 |         24 |        134 |
| c:\xampp\htdocs\GYM-UPC\css\registros.css                            | CSS        |        359 |          3 |         69 |        431 |
| c:\xampp\htdocs\GYM-UPC\css\rutinas.css                              | CSS        |        223 |          4 |         31 |        258 |
| c:\xampp\htdocs\GYM-UPC\css\seccionrutinas.css                       | CSS        |        359 |          3 |         62 |        424 |
| c:\xampp\htdocs\GYM-UPC\img\desktop.ini                              | Ini        |          7 |          0 |          0 |          7 |
| c:\xampp\htdocs\GYM-UPC\img\logo\desktop.ini                         | Ini        |          7 |          0 |          0 |          7 |
| c:\xampp\htdocs\GYM-UPC\index.php                                    | PHP        |        398 |          3 |         13 |        414 |
| c:\xampp\htdocs\GYM-UPC\js\Adm\Listado.js                            | JavaScript |         59 |          6 |          7 |         72 |
| c:\xampp\htdocs\GYM-UPC\js\Bienvenida.js                             | JavaScript |         19 |          0 |          3 |         22 |
| c:\xampp\htdocs\GYM-UPC\js\enlistar.js                               | JavaScript |         11 |          1 |          1 |         13 |
| c:\xampp\htdocs\GYM-UPC\js\instructor\LeerQR.js                      | JavaScript |         58 |         13 |         19 |         90 |
| c:\xampp\htdocs\GYM-UPC\js\instructor\Listado.js                     | JavaScript |         62 |          7 |          8 |         77 |
| c:\xampp\htdocs\GYM-UPC\js\instructor\qrCode.min.js                  | JavaScript |         88 |         19 |          0 |        107 |
| c:\xampp\htdocs\GYM-UPC\js\script.js                                 | JavaScript |         43 |          0 |          5 |         48 |
| c:\xampp\htdocs\GYM-UPC\js\usuarios\Apartar_cupos.js                 | JavaScript |         75 |          2 |         10 |         87 |
| c:\xampp\htdocs\GYM-UPC\js\usuarios\Configuracion_user.js            | JavaScript |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\GYM-UPC\js\usuarios\Generar_Qr.js                    | JavaScript |         19 |         10 |          9 |         38 |
| c:\xampp\htdocs\GYM-UPC\js\usuarios\imc.js                           | JavaScript |         44 |          0 |          2 |         46 |
| c:\xampp\htdocs\GYM-UPC\paginas\Administrador\activar_afiliados.php  | PHP        |        300 |          3 |         18 |        321 |
| c:\xampp\htdocs\GYM-UPC\paginas\Administrador\actividades.php        | PHP        |        291 |          2 |         15 |        308 |
| c:\xampp\htdocs\GYM-UPC\paginas\Administrador\asignar_instructor.php | PHP        |        322 |          4 |         16 |        342 |
| c:\xampp\htdocs\GYM-UPC\paginas\Administrador\capacidad.php          | PHP        |        296 |          4 |         16 |        316 |
| c:\xampp\htdocs\GYM-UPC\paginas\Administrador\enlistar.php           | PHP        |        212 |          1 |         12 |        225 |
| c:\xampp\htdocs\GYM-UPC\paginas\Administrador\perfil.php             | PHP        |        435 |          0 |         21 |        456 |
| c:\xampp\htdocs\GYM-UPC\paginas\Administrador\registrar.php          | PHP        |        311 |          1 |         11 |        323 |
| c:\xampp\htdocs\GYM-UPC\paginas\index\NuevaContrasena.php            | PHP        |        151 |          2 |         15 |        168 |
| c:\xampp\htdocs\GYM-UPC\paginas\index\Olvidecontraseña.php           | PHP        |        149 |          1 |         16 |        166 |
| c:\xampp\htdocs\GYM-UPC\paginas\index\Verificacion_correo.php        | PHP        |        144 |          3 |         15 |        162 |
| c:\xampp\htdocs\GYM-UPC\paginas\instructor\leer_qr.php               | PHP        |        275 |          2 |         12 |        289 |
| c:\xampp\htdocs\GYM-UPC\paginas\instructor\listar.php                | PHP        |        190 |          1 |          9 |        200 |
| c:\xampp\htdocs\GYM-UPC\paginas\instructor\perfil.php                | PHP        |        416 |          0 |         18 |        434 |
| c:\xampp\htdocs\GYM-UPC\paginas\usuarios\Configuracion.php           | PHP        |        443 |          1 |         23 |        467 |
| c:\xampp\htdocs\GYM-UPC\paginas\usuarios\apartar_cupos.php           | PHP        |        410 |          2 |         11 |        423 |
| c:\xampp\htdocs\GYM-UPC\paginas\usuarios\imc.php                     | PHP        |        242 |          0 |          5 |        247 |
| c:\xampp\htdocs\GYM-UPC\paginas\usuarios\qr.php                      | PHP        |        254 |          2 |         12 |        268 |
| c:\xampp\htdocs\GYM-UPC\paginas\view\bienvenida.php                  | PHP        |        347 |          0 |          9 |        356 |
| c:\xampp\htdocs\GYM-UPC\paginas\view\habitos.php                     | PHP        |        318 |          0 |         13 |        331 |
| c:\xampp\htdocs\GYM-UPC\paginas\view\predefinidas.php                | PHP        |        488 |          0 |          8 |        496 |
| c:\xampp\htdocs\GYM-UPC\paginas\view\rutinas.php                     | PHP        |        350 |          0 |          7 |        357 |
| c:\xampp\htdocs\GYM-UPC\paginas\view\tren_inferior.php               | PHP        |        475 |          0 |         12 |        487 |
